row_id,entity,role,note,affiliation,person
8796,"Sound Service, Inc.",Sound Director,,"Sound Service, Inc.",Jack R. Whitney
8897,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
8898,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Gordon Sawyer
8899,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,John Aalberg
9046,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,Stephen Dunn
9047,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Daniel J. Bloomberg
9048,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9049,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,Thomas T. Moulton
9050,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9051,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John P. Livadary
9052,General Service,Sound Director,,General Service,Jack Whitney
9053,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
9054,Walt Disney Studio Sound Department,Sound Director,,Walt Disney Studio Sound Department,C. O. Slyfield
9055,RCA Sound,Sound Director,,RCA Sound,W. V. Wolfe
9056,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren L. Ryder
9057,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Gordon Sawyer
9215,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
9216,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Daniel J. Bloomberg
9217,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
9218,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
9219,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren L. Ryder
9220,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9221,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9222,"Sound Service, Inc.",Sound Director,,"Sound Service, Inc.",Jack Whitney
9223,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
9224,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,Stephen Dunn
9225,RCA Sound,Sound Director,,RCA Sound,W. M. Dalgleish
9398,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,Stephen Dunn
9399,"Sound Service, Inc.",Sound Director,,"Sound Service, Inc.",Jack Whitney
9400,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Daniel J. Bloomberg
9401,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
9402,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
9403,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9404,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren L. Ryder
9405,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
9406,Walt Disney Studio Sound Department,Sound Director,,Walt Disney Studio Sound Department,C. O. Slyfield
9407,RCA Sound,Sound Director,,RCA Sound,J. L. Fields
9408,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
9409,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9578,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9579,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9580,Walt Disney Studio Sound Department,Sound Director,,Walt Disney Studio Sound Department,Sam Slyfield
9581,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Daniel Bloomberg
9582,"Sound Service, Inc.",Sound Director,,"Sound Service, Inc.",Jack Whitney
9583,RCA Sound,Sound Director,,RCA Sound,James Fields
9584,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
